4:18:4:624:::com.kth.csd.node.executors.KvsOperationExecutorPool:::KvsOperationExecutorPool instatiated!
4:18:4:695:::KvsExecutor:::thread with id 0 instantiated
4:18:4:724:::com.kth.csd.node.executors.KvsOperationExecutorPool:::startWorking!
4:18:4:727:::com.kth.csd.node.executors.KvsOperationExecutorPool:::size of pool =1
4:18:4:735:::com.kth.csd.node.executors.KvsOperationExecutorPool:::thread #0 startWorking!
4:18:4:758:::KvsExecutor:::thread # 0run
4:18:4:783:::com.kth.csd.networking.SocketMonitor:::Start listening...
4:18:20:207:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:230:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:234:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:248:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:294:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:302:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:305:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:329:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:365:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:378:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:450:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:451:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:534:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:537:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:610:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:697:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:933:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:954:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:960:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:961:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:962:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:962:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:963:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:963:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:964:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:964:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:965:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:965:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:966:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:966:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:969:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
4:18:20:970:::com.kth.csd.networking.SocketHandler:::received msg of type WRITE
